date,source,source_label,medium,medium_label,campaign_id,campaign_name,segment,impressions,clicks,spend,conversions,total_conversion,revenue,ctr,cpc,cpa,roas,dataset
2024-01-01,google_ads,Google Ads,paid_search,Paid Search,GA-00578,SaaS Search India,India,21702,1000,3170,17,17,3670.88,0.046079,3.17,186.4706,1.158,global_ads_performance
2024-01-01,tiktok_ads,TikTok,display,Display,GA-00846,SaaS Display USA,USA,103026,9066,12964.38,278,278,46631,0.087997,1.43,46.6345,3.5969,global_ads_performance
2024-01-02,tiktok_ads,TikTok,paid_shopping,Paid Shopping,GA-00004,SaaS Shopping Germany,Germany,83953,5935,7834.2,296,296,50505.07,0.070694,1.32,26.4669,6.4467,global_ads_performance
2024-01-02,meta_ads,Meta,paid_video,Paid Video,GA-00356,EdTech Video USA,USA,138639,2204,3967.2,154,154,35803.07,0.015897,1.8,25.761,9.0248,global_ads_performance
2024-01-02,meta_ads,Meta,paid_search,Paid Search,GA-01282,Healthcare Search India,India,163624,4368,5591.04,296,296,31041.33,0.026695,1.28,18.8886,5.552,global_ads_performance
2024-01-02,meta_ads,Meta,display,Display,GA-01622,SaaS Display UK,UK,143485,3945,2800.95,187,187,30765.32,0.027494,0.71,14.9783,10.9839,global_ads_performance
2024-01-03,meta_ads,Meta,paid_video,Paid Video,GA-00392,EdTech Video India,India,149375,6109,13317.62,89,89,22418.8,0.040897,2.18,149.6362,1.6834,global_ads_performance
2024-01-03,meta_ads,Meta,display,Display,GA-01043,Fintech Display Canada,Canada,129750,2452,2672.68,93,93,23770.39,0.018898,1.09,28.7385,8.8938,global_ads_performance
2024-01-03,tiktok_ads,TikTok,paid_search,Paid Search,GA-01101,Healthcare Search USA,USA,69277,5057,5360.42,268,268,57608.77,0.072997,1.06,20.0016,10.7471,global_ads_performance
2024-01-03,meta_ads,Meta,paid_search,Paid Search,GA-01434,E-commerce Search UK,UK,91392,2705,5518.2,87,87,12147.08,0.029598,2.04,63.4276,2.2013,global_ads_performance
2024-01-04,meta_ads,Meta,paid_shopping,Paid Shopping,GA-00193,EdTech Shopping UK,UK,117217,2133,2751.57,129,129,25455.36,0.018197,1.29,21.33,9.2512,global_ads_performance
2024-01-04,google_ads,Google Ads,display,Display,GA-00367,Fintech Display UK,UK,20198,878,2353.04,67,67,5967.58,0.04347,2.68,35.12,2.5361,global_ads_performance
2024-01-04,meta_ads,Meta,paid_search,Paid Search,GA-00384,Healthcare Search UK,UK,122897,2040,1570.8,159,159,45753.83,0.016599,0.77,9.8792,29.1277,global_ads_performance
2024-01-04,meta_ads,Meta,display,Display,GA-00555,EdTech Display India,India,97152,1156,624.24,43,43,4965.75,0.011899,0.54,14.5172,7.9549,global_ads_performance
2024-01-04,google_ads,Google Ads,paid_video,Paid Video,GA-00568,EdTech Video Germany,Germany,89730,4621,12384.28,277,277,13483.54,0.051499,2.68,44.7086,1.0888,global_ads_performance
2024-01-04,meta_ads,Meta,paid_shopping,Paid Shopping,GA-00761,EdTech Shopping UK,UK,184729,2586,2327.4,201,201,16864.93,0.013999,0.9,11.5791,7.2463,global_ads_performance
2024-01-04,meta_ads,Meta,paid_shopping,Paid Shopping,GA-00916,Healthcare Shopping Canada,Canada,91284,2126,1955.92,132,132,23916.94,0.02329,0.92,14.8176,12.228,global_ads_performance
2024-01-04,google_ads,Google Ads,display,Display,GA-01744,E-commerce Display USA,USA,52897,1883,5215.91,108,108,5473.28,0.035597,2.77,48.2955,1.0493,global_ads_performance
2024-01-05,tiktok_ads,TikTok,display,Display,GA-00037,Fintech Display UAE,UAE,6015,410,791.3,28,28,4383.32,0.068163,1.93,28.2607,5.5394,global_ads_performance
2024-01-05,google_ads,Google Ads,paid_search,Paid Search,GA-00114,EdTech Search UK,UK,41378,2023,2488.29,73,73,9343.63,0.048891,1.23,34.0862,3.755,global_ads_performance
2024-01-05,meta_ads,Meta,display,Display,GA-00195,SaaS Display USA,USA,10939,113,133.34,6,6,1684.43,0.01033,1.18,22.2233,12.6326,global_ads_performance
2024-01-05,meta_ads,Meta,display,Display,GA-00375,E-commerce Display Germany,Germany,88732,1579,694.76,32,32,4757.82,0.017795,0.44,21.7113,6.8481,global_ads_performance
2024-01-05,google_ads,Google Ads,paid_video,Paid Video,GA-00829,SaaS Video India,India,135223,3285,9920.7,201,201,46154.22,0.024293,3.02,49.3567,4.6523,global_ads_performance
2024-01-05,tiktok_ads,TikTok,paid_video,Paid Video,GA-01073,EdTech Video Australia,Australia,52059,2956,1684.92,29,29,5633.14,0.056782,0.57,58.1007,3.3433,global_ads_performance
2024-01-05,meta_ads,Meta,paid_shopping,Paid Shopping,GA-01155,E-commerce Shopping USA,USA,139257,2631,4235.91,99,99,9781.28,0.018893,1.61,42.787,2.3091,global_ads_performance
2024-01-05,google_ads,Google Ads,paid_shopping,Paid Shopping,GA-01231,Healthcare Shopping UAE,UAE,20091,956,3259.96,36,36,9230.05,0.047583,3.41,90.5544,2.8313,global_ads_performance
2024-01-06,meta_ads,Meta,paid_search,Paid Search,GA-00038,Healthcare Search Australia,Australia,17763,726,1408.44,30,30,1946.19,0.040871,1.94,46.948,1.3818,global_ads_performance
2024-01-06,google_ads,Google Ads,paid_video,Paid Video,GA-01152,E-commerce Video UK,UK,139158,3061,3887.47,118,118,15835.46,0.021997,1.27,32.9447,4.0735,global_ads_performance
2024-01-06,meta_ads,Meta,paid_video,Paid Video,GA-01350,Healthcare Video Australia,Australia,131681,1725,1362.75,108,108,31291.1,0.0131,0.79,12.6181,22.9617,global_ads_performance
2024-01-07,meta_ads,Meta,paid_shopping,Paid Shopping,GA-00093,Fintech Shopping Australia,Australia,182235,5047,3734.78,260,260,53450.65,0.027695,0.74,14.3645,14.3116,global_ads_performance
2024-01-07,google_ads,Google Ads,paid_shopping,Paid Shopping,GA-00169,EdTech Shopping UAE,UAE,73803,1505,3190.6,98,98,18709.86,0.020392,2.12,32.5571,5.8641,global_ads_performance
2024-01-07,meta_ads,Meta,paid_video,Paid Video,GA-00372,Healthcare Video Germany,Germany,98944,1850,2627,78,78,17285.68,0.018697,1.42,33.6795,6.58,global_ads_performance
2024-01-07,google_ads,Google Ads,paid_video,Paid Video,GA-00769,Fintech Video UAE,UAE,32476,1136,1863.04,86,86,21754.11,0.03498,1.64,21.6633,11.6767,global_ads_performance
2024-01-07,google_ads,Google Ads,paid_video,Paid Video,GA-01077,E-commerce Video Germany,Germany,25080,1113,2916.06,49,49,2232.61,0.044378,2.62,59.5114,0.7656,global_ads_performance
2024-01-07,google_ads,Google Ads,paid_shopping,Paid Shopping,GA-01274,EdTech Shopping USA,USA,73305,3635,9014.8,47,47,2210.35,0.049587,2.48,191.8043,0.2452,global_ads_performance
2024-01-07,tiktok_ads,TikTok,paid_search,Paid Search,GA-01377,Healthcare Search UK,UK,166711,13670,20505,592,592,43676.76,0.081998,1.5,34.6368,2.1301,global_ads_performance
2024-01-07,google_ads,Google Ads,paid_video,Paid Video,GA-01444,E-commerce Video UK,UK,33433,1698,4975.14,60,60,4216.81,0.050788,2.93,82.919,0.8476,global_ads_performance
